gen	best_preq_length	mean_preq_length	best_preq_length	best_preq_gain	best_id_baseline	sigma
179	4.696269	4.419408	4.696269	0.194531	0.512919	0.040769
180	5.517545	4.971475	5.517545	0.148942	0.772350	0.040565
181	6.070294	5.310382	6.070294	0.161524	0.796779	0.040362
182	12.774277	11.691858	12.774277	0.164758	1.630210	0.040161
183	4.999733	4.577212	4.999733	0.216968	0.483136	0.039960
184	6.520129	6.187640	6.520129	0.171805	0.801655	0.039760
185	6.703835	6.395815	6.703835	0.192188	0.743624	0.039561
186	8.121378	7.485658	8.121378	0.179300	0.962396	0.039363
187	6.705199	6.371001	6.705199	0.138249	1.025857	0.039167
188	3.680436	3.457479	3.680436	0.210934	0.374202	0.038971
189	5.702515	5.403441	5.702515	0.158169	0.761182	0.038776
190	7.375694	6.922032	7.375694	0.170093	0.913984	0.038582
191	7.012934	6.620342	7.012934	0.202067	0.744907	0.038389
192	4.787129	4.625705	4.787129	0.206264	0.495135	0.038197
193	6.263260	5.937966	6.263260	0.207574	0.635587	0.038006
194	8.514245	8.144345	8.514245	0.128428	1.382454	0.037816
195	4.915598	4.540750	4.915598	0.167765	0.619871	0.037627
196	5.956240	5.651559	5.956240	0.173775	0.722669	0.037439
197	6.448061	6.089385	6.448061	0.165816	0.825877	0.037252
198	7.006483	6.541756	7.006483	0.164232	0.903558	0.037066
199	8.536411	8.116150	8.536411	0.105398	1.679756	0.036880
200	8.429495	7.846377	8.429495	0.158616	1.109440	0.036696
201	10.909657	10.211277	10.909657	0.121521	1.860712	0.036512
202	5.932882	5.576835	5.932882	0.150568	0.827930	0.036330
203	9.002739	8.548222	9.002739	0.159317	1.186068	0.036148
204	4.723000	4.370563	4.723000	0.188527	0.524511	0.035967
205	3.770679	3.601941	3.770679	0.228016	0.353060	0.035788
206	10.456192	9.589616	10.456192	0.110550	1.969659	0.035609
207	10.763827	10.156334	10.763827	0.154176	1.454411	0.035431
208	5.001999	4.627819	5.001999	0.177275	0.592960	0.035253
209	7.666257	6.997592	7.666257	0.148316	1.087227	0.035077
210	8.397535	7.946478	8.397535	0.122203	1.435363	0.034902
211	11.019423	10.499334	11.019423	0.157820	1.462089	0.034727
212	9.460381	8.855927	9.460381	0.132876	1.490790	0.034554
213	3.800942	3.514548	3.800942	0.175114	0.453910	0.034381
214	7.327822	6.957117	7.327822	0.186292	0.836484	0.034209
215	6.557784	6.285833	6.557784	0.187251	0.736979	0.034038
216	7.983036	7.383177	7.983036	0.190783	0.883529	0.033868
217	7.122398	6.816665	7.122398	0.207033	0.730252	0.033698
218	11.121716	10.048342	11.121716	0.133029	1.733473	0.033530
219	8.484786	8.080682	8.484786	0.162082	1.109634	0.033362
220	6.730015	6.271836	6.730015	0.200303	0.705943	0.033195
221	5.546211	5.234507	5.546211	0.179055	0.653143	0.033029
222	7.960308	7.678582	7.960308	0.164113	1.022920	0.032864
223	10.153296	9.684434	10.153296	0.143688	1.468881	0.032700
224	6.748132	6.493431	6.748132	0.234801	0.606669	0.032536
225	8.074845	7.693125	8.074845	0.127057	1.321813	0.032374
